"Step","deberta-mlm-large_prompt-based-balanced - eval/loss","deberta-mlm-large_prompt-based-balanced - eval/loss__MIN","deberta-mlm-large_prompt-based-balanced - eval/loss__MAX","deberta-large_mlm - eval/loss","deberta-large_mlm - eval/loss__MIN","deberta-large_mlm - eval/loss__MAX","deberta-large_prompt-based-balanced - eval/loss","deberta-large_prompt-based-balanced - eval/loss__MIN","deberta-large_prompt-based-balanced - eval/loss__MAX","mlm-large_prompt-based-balanced - eval/loss","mlm-large_prompt-based-balanced - eval/loss__MIN","mlm-large_prompt-based-balanced - eval/loss__MAX","mlm-large_prompt-based - eval/loss","mlm-large_prompt-based - eval/loss__MIN","mlm-large_prompt-based - eval/loss__MAX","mlm-large_fine-tune - eval/loss","mlm-large_fine-tune - eval/loss__MIN","mlm-large_fine-tune - eval/loss__MAX","mlm_fine-tune - eval/loss","mlm_fine-tune - eval/loss__MIN","mlm_fine-tune - eval/loss__MAX"
"0","","","","","","","","","","","","","","","","0.3983302414417267","0.3983302414417267","0.3983302414417267","0.41234713792800903","0.41234713792800903","0.41234713792800903"
"2","","","","","","","","","","","","","","","","0.3388311266899109","0.3388311266899109","0.3388311266899109","0.4011126756668091","0.4011126756668091","0.4011126756668091"
"4","","","","","","","","","","","","","","","","0.31996649503707886","0.31996649503707886","0.31996649503707886","0.36896970868110657","0.36896970868110657","0.36896970868110657"
"6","","","","","","","","","","","","","","","","0.31197720766067505","0.31197720766067505","0.31197720766067505","0.3472435474395752","0.3472435474395752","0.3472435474395752"
"8","","","","","","","","","","","","","","","","0.31139177083969116","0.31139177083969116","0.31139177083969116","0.3364246189594269","0.3364246189594269","0.3364246189594269"
"10","","","","","","","","","","","","","","","","0.3144485652446747","0.3144485652446747","0.3144485652446747","0.33253416419029236","0.33253416419029236","0.33253416419029236"
"12","","","","","","","","","","","","","","","","0.31880083680152893","0.31880083680152893","0.31880083680152893","0.33044347167015076","0.33044347167015076","0.33044347167015076"
"14","","","","","","","","","","","","","","","","0.32569819688796997","0.32569819688796997","0.32569819688796997","0.33128622174263","0.33128622174263","0.33128622174263"
"16","","","","","","","","","","","","","","","","0.33333835005760193","0.33333835005760193","0.33333835005760193","0.3287559449672699","0.3287559449672699","0.3287559449672699"
"18","","","","","","","","","","","","","","","","0.3395100235939026","0.3395100235939026","0.3395100235939026","0.3343237042427063","0.3343237042427063","0.3343237042427063"
"20","","","","","","","","","","","","","","","","0.3470499813556671","0.3470499813556671","0.3470499813556671","0.33586585521698","0.33586585521698","0.33586585521698"
"21","0.5063629150390625","0.5063629150390625","0.5063629150390625","3.7045629024505615","3.7045629024505615","3.7045629024505615","0.4637625515460968","0.4637625515460968","0.4637625515460968","0.35997939109802246","0.35711416602134705","0.3628446161746979","0.3538871705532074","0.3538871705532074","0.3538871705532074","","","","","",""
"22","","","","","","","","","","","","","","","","0.3559432625770569","0.3559432625770569","0.3559432625770569","0.3352958858013153","0.3352958858013153","0.3352958858013153"
"24","","","","","","","","","","","","","","","","0.36229702830314636","0.36229702830314636","0.36229702830314636","0.34250548481941223","0.34250548481941223","0.34250548481941223"
"26","","","","","","","","","","","","","","","","0.36967992782592773","0.36967992782592773","0.36967992782592773","0.3470292091369629","0.3470292091369629","0.3470292091369629"
"28","","","","","","","","","","","","","","","","0.37927117943763733","0.37927117943763733","0.37927117943763733","0.34824690222740173","0.34824690222740173","0.34824690222740173"
"30","","","","","","","","","","","","","","","","0.3825993537902832","0.3825993537902832","0.3825993537902832","0.3524536192417145","0.3524536192417145","0.3524536192417145"
"32","","","","","","","","","","","","","","","","0.38453730940818787","0.38453730940818787","0.38453730940818787","0.3578871190547943","0.3578871190547943","0.3578871190547943"
"34","","","","","","","","","","","","","","","","0.38758373260498047","0.38758373260498047","0.38758373260498047","0.35665571689605713","0.35665571689605713","0.35665571689605713"
"36","","","","","","","","","","","","","","","","0.3940106928348541","0.3940106928348541","0.3940106928348541","0.3629065454006195","0.3629065454006195","0.3629065454006195"
"38","","","","","","","","","","","","","","","","0.3966776728630066","0.3966776728630066","0.3966776728630066","0.36490708589553833","0.36490708589553833","0.36490708589553833"
"40","","","","","","","","","","","","","","","","0.39811235666275024","0.39811235666275024","0.39811235666275024","0.36960870027542114","0.36960870027542114","0.36960870027542114"
"42","","","","","","","","","","","","","","","","0.4028104841709137","0.4028104841709137","0.4028104841709137","0.3711015284061432","0.3711015284061432","0.3711015284061432"
"43","0.4477280378341675","0.4477280378341675","0.4477280378341675","2.955853223800659","2.955853223800659","2.955853223800659","0.4043276906013489","0.4043276906013489","0.4043276906013489","0.31922389566898346","0.31869396567344666","0.31975382566452026","0.3133152723312378","0.3133152723312378","0.3133152723312378","","","","","",""
"44","","","","","","","","","","","","","","","","0.4060753583908081","0.4060753583908081","0.4060753583908081","0.372941792011261","0.372941792011261","0.372941792011261"
"46","","","","","","","","","","","","","","","","0.4060300886631012","0.4060300886631012","0.4060300886631012","0.3739321231842041","0.3739321231842041","0.3739321231842041"
"48","","","","","","","","","","","","","","","","0.4085162281990051","0.4085162281990051","0.4085162281990051","0.37593889236450195","0.37593889236450195","0.37593889236450195"
"50","","","","","","","","","","","","","","","","0.40927767753601074","0.40927767753601074","0.40927767753601074","0.37659311294555664","0.37659311294555664","0.37659311294555664"
"52","","","","","","","","","","","","","","","","0.4102265536785126","0.4102265536785126","0.4102265536785126","0.378662109375","0.378662109375","0.378662109375"
"54","","","","","","","","","","","","","","","","0.4107968807220459","0.4107968807220459","0.4107968807220459","0.3797319531440735","0.3797319531440735","0.3797319531440735"
"56","","","","","","","","","","","","","","","","0.4115774929523468","0.4115774929523468","0.4115774929523468","0.3794425427913666","0.3794425427913666","0.3794425427913666"
"58","","","","","","","","","","","","","","","","0.41170331835746765","0.41170331835746765","0.41170331835746765","0.3798564672470093","0.3798564672470093","0.3798564672470093"
"65","0.41123372316360474","0.41123372316360474","0.41123372316360474","2.5380353927612305","2.5380353927612305","2.5380353927612305","0.39462292194366455","0.39462292194366455","0.39462292194366455","0.3086099922657013","0.3062051236629486","0.311014860868454","0.3046237528324127","0.3046237528324127","0.3046237528324127","","","","","",""
"87","0.40621018409729004","0.40621018409729004","0.40621018409729004","2.3910810947418213","2.3910810947418213","2.3910810947418213","0.39760664105415344","0.39760664105415344","0.39760664105415344","0.3061970919370651","0.30369746685028076","0.3086967170238495","0.30334585905075073","0.30334585905075073","0.30334585905075073","","","","","",""
"109","0.4119082987308502","0.4119082987308502","0.4119082987308502","2.20701003074646","2.20701003074646","2.20701003074646","0.4037109315395355","0.4037109315395355","0.4037109315395355","0.3114513009786606","0.30947381258010864","0.3134287893772125","0.30972611904144287","0.30972611904144287","0.30972611904144287","","","","","",""
"131","0.41735127568244934","0.41735127568244934","0.41735127568244934","2.0413129329681396","2.0413129329681396","2.0413129329681396","0.4169221520423889","0.4169221520423889","0.4169221520423889","0.31352031230926514","0.3093739449977875","0.3176666796207428","0.3178809583187103","0.3178809583187103","0.3178809583187103","","","","","",""
"153","0.4308372437953949","0.4308372437953949","0.4308372437953949","2.0302164554595947","2.0302164554595947","2.0302164554595947","0.43135443329811096","0.43135443329811096","0.43135443329811096","0.3189897835254669","0.31535589694976807","0.32262367010116577","0.3202216923236847","0.3202216923236847","0.3202216923236847","","","","","",""
"175","0.44501549005508423","0.44501549005508423","0.44501549005508423","2.0231521129608154","2.0231521129608154","2.0231521129608154","0.4461212754249573","0.4461212754249573","0.4461212754249573","0.3278043568134308","0.3203872740268707","0.33522143959999084","0.3333114981651306","0.3333114981651306","0.3333114981651306","","","","","",""
"197","0.4582351744174957","0.4582351744174957","0.4582351744174957","1.8976306915283203","1.8976306915283203","1.8976306915283203","0.45796799659729004","0.45796799659729004","0.45796799659729004","0.33858004212379456","0.3331367075443268","0.34402337670326233","0.3469071388244629","0.3469071388244629","0.3469071388244629","","","","","",""
"219","0.4704761505126953","0.4704761505126953","0.4704761505126953","1.859702467918396","1.859702467918396","1.859702467918396","0.473842054605484","0.473842054605484","0.473842054605484","0.34727203845977783","0.33821550011634827","0.3563285768032074","0.35654985904693604","0.35654985904693604","0.35654985904693604","","","","","",""
"241","0.47921139001846313","0.47921139001846313","0.47921139001846313","1.843185544013977","1.843185544013977","1.843185544013977","0.47849246859550476","0.47849246859550476","0.47849246859550476","0.35572923719882965","0.34891679883003235","0.36254167556762695","0.372437983751297","0.372437983751297","0.372437983751297","","","","","",""
"263","0.4842292070388794","0.4842292070388794","0.4842292070388794","1.8522640466690063","1.8522640466690063","1.8522640466690063","0.48301827907562256","0.48301827907562256","0.48301827907562256","0.3674467206001282","0.35981038212776184","0.3750830590724945","0.3819715082645416","0.3819715082645416","0.3819715082645416","","","","","",""
"285","0.49790385365486145","0.49790385365486145","0.49790385365486145","1.7505451440811157","1.7505451440811157","1.7505451440811157","0.4954906105995178","0.4954906105995178","0.4954906105995178","0.3777655214071274","0.3662184178829193","0.38931262493133545","0.38789188861846924","0.38789188861846924","0.38789188861846924","","","","","",""
"307","0.5076092481613159","0.5076092481613159","0.5076092481613159","1.8015538454055786","1.8015538454055786","1.8015538454055786","0.5076324343681335","0.5076324343681335","0.5076324343681335","0.3836047947406769","0.37735384702682495","0.3898557424545288","0.3970450162887573","0.3970450162887573","0.3970450162887573","","","","","",""
"329","0.5131757259368896","0.5131757259368896","0.5131757259368896","1.7039616107940674","1.7039616107940674","1.7039616107940674","0.5063591599464417","0.5063591599464417","0.5063591599464417","0.39302419126033783","0.3847824037075043","0.4012659788131714","0.40428322553634644","0.40428322553634644","0.40428322553634644","","","","","",""
"352","0.5232816338539124","0.5232816338539124","0.5232816338539124","1.7758369445800781","1.7758369445800781","1.7758369445800781","0.5194072127342224","0.5194072127342224","0.5194072127342224","0.39766912162303925","0.3900032341480255","0.405335009098053","0.4112778306007385","0.4112778306007385","0.4112778306007385","","","","","",""
"374","0.5245313048362732","0.5245313048362732","0.5245313048362732","1.7542240619659424","1.7542240619659424","1.7542240619659424","0.5228269100189209","0.5228269100189209","0.5228269100189209","0.4044472575187683","0.3981133997440338","0.4107811152935028","0.41604962944984436","0.41604962944984436","0.41604962944984436","","","","","",""
"396","0.5384292006492615","0.5384292006492615","0.5384292006492615","1.6880797147750854","1.6880797147750854","1.6880797147750854","0.5283157229423523","0.5283157229423523","0.5283157229423523","0.4106466472148895","0.40482279658317566","0.4164704978466034","0.4207778573036194","0.4207778573036194","0.4207778573036194","","","","","",""
"418","0.5392370223999023","0.5392370223999023","0.5392370223999023","1.6659095287322998","1.6659095287322998","1.6659095287322998","0.5344135165214539","0.5344135165214539","0.5344135165214539","0.41502803564071655","0.4092206656932831","0.42083540558815","0.4232639968395233","0.4232639968395233","0.4232639968395233","","","","","",""
"440","0.5465245842933655","0.5465245842933655","0.5465245842933655","1.732679843902588","1.732679843902588","1.732679843902588","0.5398321151733398","0.5398321151733398","0.5398321151733398","0.419409841299057","0.4156472384929657","0.4231724441051483","0.4283800721168518","0.4283800721168518","0.4283800721168518","","","","","",""
"462","0.5513378977775574","0.5513378977775574","0.5513378977775574","1.6540782451629639","1.6540782451629639","1.6540782451629639","0.5469191670417786","0.5469191670417786","0.5469191670417786","0.4215943515300751","0.4156365394592285","0.42755216360092163","0.4339089095592499","0.4339089095592499","0.4339089095592499","","","","","",""
"484","0.5538140535354614","0.5538140535354614","0.5538140535354614","1.680133581161499","1.680133581161499","1.680133581161499","0.5493133068084717","0.5493133068084717","0.5493133068084717","0.4261416047811508","0.4198741614818573","0.43240904808044434","0.43597322702407837","0.43597322702407837","0.43597322702407837","","","","","",""
"506","0.562667191028595","0.562667191028595","0.562667191028595","1.6374531984329224","1.6374531984329224","1.6374531984329224","0.553193986415863","0.553193986415863","0.553193986415863","0.42801643908023834","0.42135143280029297","0.4346814453601837","0.43900689482688904","0.43900689482688904","0.43900689482688904","","","","","",""
"528","0.5668931007385254","0.5668931007385254","0.5668931007385254","1.680901288986206","1.680901288986206","1.680901288986206","0.5568287372589111","0.5568287372589111","0.5568287372589111","0.43061913549900055","0.4238819479942322","0.4373563230037689","0.4403326213359833","0.4403326213359833","0.4403326213359833","","","","","",""
"550","0.5634511113166809","0.5634511113166809","0.5634511113166809","1.6029822826385498","1.6029822826385498","1.6029822826385498","0.5601627826690674","0.5601627826690674","0.5601627826690674","0.4324808418750763","0.4266296327114105","0.43833205103874207","0.44200369715690613","0.44200369715690613","0.44200369715690613","","","","","",""
"572","0.565769374370575","0.565769374370575","0.565769374370575","1.6468734741210938","1.6468734741210938","1.6468734741210938","0.5618607401847839","0.5618607401847839","0.5618607401847839","0.43469639122486115","0.429495245218277","0.4398975372314453","0.44600364565849304","0.44600364565849304","0.44600364565849304","","","","","",""
"594","0.5676652193069458","0.5676652193069458","0.5676652193069458","1.585030198097229","1.585030198097229","1.585030198097229","0.5616644620895386","0.5616644620895386","0.5616644620895386","0.4365697652101517","0.43003642559051514","0.4431031048297882","0.44604945182800293","0.44604945182800293","0.44604945182800293","","","","","",""
"616","0.5708908438682556","0.5708908438682556","0.5708908438682556","1.6144858598709106","1.6144858598709106","1.6144858598709106","0.562164843082428","0.562164843082428","0.562164843082428","0.4368472844362259","0.4304892122745514","0.4432053565979004","0.4468642473220825","0.4468642473220825","0.4468642473220825","","","","","",""
"638","0.5710198283195496","0.5710198283195496","0.5710198283195496","1.5987173318862915","1.5987173318862915","1.5987173318862915","0.5649250745773315","0.5649250745773315","0.5649250745773315","0.4377545863389969","0.43186527490615845","0.4436438977718353","0.4475046992301941","0.4475046992301941","0.4475046992301941","","","","","",""
"659","0.5725231766700745","0.5725231766700745","0.5725231766700745","1.6224256753921509","1.6224256753921509","1.6224256753921509","0.5655468106269836","0.5655468106269836","0.5655468106269836","0.43744342029094696","0.4315551221370697","0.4433317184448242","0.4473820924758911","0.4473820924758911","0.4473820924758911","","","","","",""