"Step","deberta-mlm-large_prompt-based-balanced - eval/macro_f1","deberta-mlm-large_prompt-based-balanced - eval/macro_f1__MIN","deberta-mlm-large_prompt-based-balanced - eval/macro_f1__MAX","deberta-large_prompt-based-balanced - eval/macro_f1","deberta-large_prompt-based-balanced - eval/macro_f1__MIN","deberta-large_prompt-based-balanced - eval/macro_f1__MAX","mlm-large_prompt-based-balanced - eval/macro_f1","mlm-large_prompt-based-balanced - eval/macro_f1__MIN","mlm-large_prompt-based-balanced - eval/macro_f1__MAX","mlm-large_prompt-based - eval/macro_f1","mlm-large_prompt-based - eval/macro_f1__MIN","mlm-large_prompt-based - eval/macro_f1__MAX","mlm-large_fine-tune - eval/macro_f1","mlm-large_fine-tune - eval/macro_f1__MIN","mlm-large_fine-tune - eval/macro_f1__MAX","mlm_fine-tune - eval/macro_f1","mlm_fine-tune - eval/macro_f1__MIN","mlm_fine-tune - eval/macro_f1__MAX"
"0","","","","","","","","","","","","","0.02302158273381295","0.02302158273381295","0.02302158273381295","NaN","",""
"2","","","","","","","","","","","","","0.4468801951186835","0.4468801951186835","0.4468801951186835","NaN","",""
"4","","","","","","","","","","","","","0.3986746861883099","0.3986746861883099","0.3986746861883099","0.4460578067604554","0.4460578067604554","0.4460578067604554"
"6","","","","","","","","","","","","","0.39607860494915553","0.39607860494915553","0.39607860494915553","0.3733142611183132","0.3733142611183132","0.3733142611183132"
"8","","","","","","","","","","","","","0.42052351043859354","0.42052351043859354","0.42052351043859354","0.44463458168889197","0.44463458168889197","0.44463458168889197"
"10","","","","","","","","","","","","","0.41997511277613375","0.41997511277613375","0.41997511277613375","0.42343073262285635","0.42343073262285635","0.42343073262285635"
"12","","","","","","","","","","","","","0.40674565034613075","0.40674565034613075","0.40674565034613075","0.3883419520650198","0.3883419520650198","0.3883419520650198"
"14","","","","","","","","","","","","","0.4457561476408487","0.4457561476408487","0.4457561476408487","0.38376928189197307","0.38376928189197307","0.38376928189197307"
"16","","","","","","","","","","","","","0.4272978887149416","0.4272978887149416","0.4272978887149416","0.4105629975834889","0.4105629975834889","0.4105629975834889"
"18","","","","","","","","","","","","","0.4353592390824258","0.4353592390824258","0.4353592390824258","0.38224557548664434","0.38224557548664434","0.38224557548664434"
"20","","","","","","","","","","","","","0.44517231111088096","0.44517231111088096","0.44517231111088096","0.3918087001378481","0.3918087001378481","0.3918087001378481"
"21","NaN","","","0.3060299222515018","0.3060299222515018","0.3060299222515018","0.29894517913460683","0.29007948165522696","0.3078108766139867","0.3135665577362033","0.3135665577362033","0.3135665577362033","","","","","",""
"22","","","","","","","","","","","","","0.429712387431994","0.429712387431994","0.429712387431994","0.3753015816476855","0.3753015816476855","0.3753015816476855"
"24","","","","","","","","","","","","","0.45135659292221514","0.45135659292221514","0.45135659292221514","0.3907773391003736","0.3907773391003736","0.3907773391003736"
"26","","","","","","","","","","","","","0.44610170626352214","0.44610170626352214","0.44610170626352214","0.4079012675995686","0.4079012675995686","0.4079012675995686"
"28","","","","","","","","","","","","","0.4510694907208223","0.4510694907208223","0.4510694907208223","0.4048267535650099","0.4048267535650099","0.4048267535650099"
"30","","","","","","","","","","","","","0.4470699593140238","0.4470699593140238","0.4470699593140238","0.3935120078133064","0.3935120078133064","0.3935120078133064"
"32","","","","","","","","","","","","","0.45538338901252057","0.45538338901252057","0.45538338901252057","0.40892218749123266","0.40892218749123266","0.40892218749123266"
"34","","","","","","","","","","","","","0.44835978425731116","0.44835978425731116","0.44835978425731116","0.39429535254884457","0.39429535254884457","0.39429535254884457"
"36","","","","","","","","","","","","","0.44799400437933923","0.44799400437933923","0.44799400437933923","0.3950495592986203","0.3950495592986203","0.3950495592986203"
"38","","","","","","","","","","","","","0.4482434700531992","0.4482434700531992","0.4482434700531992","0.404529348029598","0.404529348029598","0.404529348029598"
"40","","","","","","","","","","","","","0.4503806732185825","0.4503806732185825","0.4503806732185825","0.40479515987473924","0.40479515987473924","0.40479515987473924"
"42","","","","","","","","","","","","","0.449130569192547","0.449130569192547","0.449130569192547","0.4098559769797914","0.4098559769797914","0.4098559769797914"
"43","0.3018056559244665","0.3018056559244665","0.3018056559244665","0.37250063880637374","0.37250063880637374","0.37250063880637374","0.4131311573030128","0.4051539245532374","0.4211083900527882","0.4423119245480201","0.4423119245480201","0.4423119245480201","","","","","",""
"44","","","","","","","","","","","","","0.45191209084243134","0.45191209084243134","0.45191209084243134","0.40252208558625513","0.40252208558625513","0.40252208558625513"
"46","","","","","","","","","","","","","0.4434154767814905","0.4434154767814905","0.4434154767814905","0.39271967638253935","0.39271967638253935","0.39271967638253935"
"48","","","","","","","","","","","","","0.4444801951922412","0.4444801951922412","0.4444801951922412","0.3998081834593448","0.3998081834593448","0.3998081834593448"
"50","","","","","","","","","","","","","0.4463531025896188","0.4463531025896188","0.4463531025896188","0.39681035438149526","0.39681035438149526","0.39681035438149526"
"52","","","","","","","","","","","","","0.4492400287542709","0.4492400287542709","0.4492400287542709","0.39951242918568736","0.39951242918568736","0.39951242918568736"
"54","","","","","","","","","","","","","0.4463657773828323","0.4463657773828323","0.4463657773828323","0.4030542657510665","0.4030542657510665","0.4030542657510665"
"56","","","","","","","","","","","","","0.449365177079884","0.449365177079884","0.449365177079884","0.40581960658484445","0.40581960658484445","0.40581960658484445"
"58","","","","","","","","","","","","","0.4505429591928851","0.4505429591928851","0.4505429591928851","0.4019270043503749","0.4019270043503749","0.4019270043503749"
"65","0.39366045754012496","0.39366045754012496","0.39366045754012496","0.3813232770321502","0.3813232770321502","0.3813232770321502","0.4212909015710753","0.4153451768729551","0.42723662626919556","0.44840020409853687","0.44840020409853687","0.44840020409853687","","","","","",""
"87","0.3968424422991801","0.3968424422991801","0.3968424422991801","0.4112161207669738","0.4112161207669738","0.4112161207669738","0.43206073664592726","0.4224682729678645","0.44165320032398997","0.4310221178625179","0.4310221178625179","0.4310221178625179","","","","","",""
"109","0.42041732696810624","0.42041732696810624","0.42041732696810624","0.43362669898274564","0.43362669898274564","0.43362669898274564","0.44668687975480825","0.44589574299116624","0.44747801651845026","0.45598789235358783","0.45598789235358783","0.45598789235358783","","","","","",""
"131","0.4219086800359776","0.4219086800359776","0.4219086800359776","0.45152485514728163","0.45152485514728163","0.45152485514728163","0.4490557791397548","0.44847654612524","0.44963501215426965","0.4589767644811638","0.4589767644811638","0.4589767644811638","","","","","",""
"153","0.4247556840179908","0.4247556840179908","0.4247556840179908","0.4436297794129245","0.4436297794129245","0.4436297794129245","0.45282174594557334","0.4468672063506413","0.4587762855405053","0.4505291152549096","0.4505291152549096","0.4505291152549096","","","","","",""
"175","0.44855779123904843","0.44855779123904843","0.44855779123904843","0.45661517300905646","0.45661517300905646","0.45661517300905646","0.4618356632222548","0.45738602080183044","0.4662853056426791","0.47018161951407567","0.47018161951407567","0.47018161951407567","","","","","",""
"197","0.43567334402383107","0.43567334402383107","0.43567334402383107","0.449139172333898","0.449139172333898","0.449139172333898","0.4712649330101361","0.46613770358312995","0.4763921624371423","0.4722173732508302","0.4722173732508302","0.4722173732508302","","","","","",""
"219","0.4345395471833253","0.4345395471833253","0.4345395471833253","0.45975315763956626","0.45975315763956626","0.45975315763956626","0.4611133232260851","0.45981315353730984","0.46241349291486034","0.45962389571525514","0.45962389571525514","0.45962389571525514","","","","","",""
"241","0.4316307881339596","0.4316307881339596","0.4316307881339596","0.4454608780858969","0.4454608780858969","0.4454608780858969","0.4656043603207284","0.45452281452348975","0.47668590611796696","0.48018279308842854","0.48018279308842854","0.48018279308842854","","","","","",""
"263","0.4515146369754177","0.4515146369754177","0.4515146369754177","0.4553375238277212","0.4553375238277212","0.4553375238277212","0.4522300113288818","0.44204200347034484","0.46241801918741876","0.46941540543809346","0.46941540543809346","0.46941540543809346","","","","","",""
"285","0.4433359727764642","0.4433359727764642","0.4433359727764642","0.45570760611798394","0.45570760611798394","0.45570760611798394","0.4765051382239121","0.4734019191686059","0.4796083572792183","0.4850557724538579","0.4850557724538579","0.4850557724538579","","","","","",""
"307","0.4591049227892718","0.4591049227892718","0.4591049227892718","0.45412633149924486","0.45412633149924486","0.45412633149924486","0.4692605748818698","0.467862346543442","0.47065880322029763","0.47197939401459366","0.47197939401459366","0.47197939401459366","","","","","",""
"329","0.4482299533637139","0.4482299533637139","0.4482299533637139","0.4610352480726041","0.4610352480726041","0.4610352480726041","0.4726357381940557","0.4714393170372183","0.47383215935089307","0.47991897329223254","0.47991897329223254","0.47991897329223254","","","","","",""
"352","0.46694793342069046","0.46694793342069046","0.46694793342069046","0.4611575484212234","0.4611575484212234","0.4611575484212234","0.46610669895337303","0.4658119007668352","0.46640149713991086","0.4757923817644114","0.4757923817644114","0.4757923817644114","","","","","",""
"374","0.43583756109414085","0.43583756109414085","0.43583756109414085","0.4490282123051247","0.4490282123051247","0.4490282123051247","0.4695080040166163","0.4675221077160172","0.47149390031721533","0.4837373132262847","0.4837373132262847","0.4837373132262847","","","","","",""
"396","0.4507010153619045","0.4507010153619045","0.4507010153619045","0.45900998951010036","0.45900998951010036","0.45900998951010036","0.4683930805689973","0.45974527722022857","0.47704088391776606","0.4726286607364993","0.4726286607364993","0.4726286607364993","","","","","",""
"418","0.4333064154213737","0.4333064154213737","0.4333064154213737","0.4537952735647681","0.4537952735647681","0.4537952735647681","0.46488554324910814","0.4623534884270544","0.46741759807116184","0.4789560780132569","0.4789560780132569","0.4789560780132569","","","","","",""
"440","0.46003334877703017","0.46003334877703017","0.46003334877703017","0.45671251174312094","0.45671251174312094","0.45671251174312094","0.4740496873201713","0.4726831660345464","0.47541620860579614","0.4898140561629525","0.4898140561629525","0.4898140561629525","","","","","",""
"462","0.4541777401310536","0.4541777401310536","0.4541777401310536","0.4550073974051517","0.4550073974051517","0.4550073974051517","0.4644229213356573","0.4630924228319091","0.4657534198394056","0.4766533328218932","0.4766533328218932","0.4766533328218932","","","","","",""
"484","0.4400522425078847","0.4400522425078847","0.4400522425078847","0.4553365209149855","0.4553365209149855","0.4553365209149855","0.47151731348610937","0.4679307288335264","0.4751038981386923","0.47669800986333133","0.47669800986333133","0.47669800986333133","","","","","",""
"506","0.4483559573906123","0.4483559573906123","0.4483559573906123","0.45461738817797714","0.45461738817797714","0.45461738817797714","0.4696448655479933","0.46805468496438457","0.471235046131602","0.4794998256344427","0.4794998256344427","0.4794998256344427","","","","","",""
"528","0.44171611960130963","0.44171611960130963","0.44171611960130963","0.45138075338762673","0.45138075338762673","0.45138075338762673","0.4685439524817572","0.46820578479165154","0.4688821201718628","0.47288384366337566","0.47288384366337566","0.47288384366337566","","","","","",""
"550","0.45232322199606373","0.45232322199606373","0.45232322199606373","0.450757521188894","0.450757521188894","0.450757521188894","0.4667391248527431","0.4653064189836945","0.4681718307217917","0.4772177745162146","0.4772177745162146","0.4772177745162146","","","","","",""
"572","0.4499321313155913","0.4499321313155913","0.4499321313155913","0.4496142506246635","0.4496142506246635","0.4496142506246635","0.4678856165808622","0.4673189151416275","0.4684523180200969","0.4728024610828395","0.4728024610828395","0.4728024610828395","","","","","",""
"594","0.45225000401738596","0.45225000401738596","0.45225000401738596","0.45541546650515324","0.45541546650515324","0.45541546650515324","0.4701519289468696","0.46765162238518004","0.4726522355085591","0.4780679134902875","0.4780679134902875","0.4780679134902875","","","","","",""
"616","0.4500345534305884","0.4500345534305884","0.4500345534305884","0.4594172086639362","0.4594172086639362","0.4594172086639362","0.47037812205569696","0.469872491254519","0.47088375285687495","0.4822443159628915","0.4822443159628915","0.4822443159628915","","","","","",""
"638","0.4507529297716612","0.4507529297716612","0.4507529297716612","0.4534839838713469","0.4534839838713469","0.4534839838713469","0.4714603011430585","0.4698478633075237","0.47307273897859325","0.47810184062970745","0.47810184062970745","0.47810184062970745","","","","","",""
"659","0.4466849045543962","0.4466849045543962","0.4466849045543962","0.452197729324879","0.452197729324879","0.452197729324879","0.4689236773506944","0.46776401146516344","0.4700833432362253","0.47726176964649814","0.47726176964649814","0.47726176964649814","","","","","",""