"Step","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_precision","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_precision__MIN","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_precision__MAX","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_precision","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_precision__MIN","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_precision__MAX","deberta-mlm-large_prompt-based-balanced - eval/macro_precision","deberta-mlm-large_prompt-based-balanced - eval/macro_precision__MIN","deberta-mlm-large_prompt-based-balanced - eval/macro_precision__MAX","deberta-large_prompt-based-balanced - eval/macro_precision","deberta-large_prompt-based-balanced - eval/macro_precision__MIN","deberta-large_prompt-based-balanced - eval/macro_precision__MAX","mlm-large_prompt-based-balanced - eval/macro_precision","mlm-large_prompt-based-balanced - eval/macro_precision__MIN","mlm-large_prompt-based-balanced - eval/macro_precision__MAX","mlm-large_prompt-based - eval/macro_precision","mlm-large_prompt-based - eval/macro_precision__MIN","mlm-large_prompt-based - eval/macro_precision__MAX","mlm-large_fine-tune - eval/macro_precision","mlm-large_fine-tune - eval/macro_precision__MIN","mlm-large_fine-tune - eval/macro_precision__MAX","mlm_fine-tune - eval/macro_precision","mlm_fine-tune - eval/macro_precision__MIN","mlm_fine-tune - eval/macro_precision__MAX"
"0","","","","","","","","","","","","","","","","","","","1","1","1","NaN","",""
"2","","","","","","","","","","","","","","","","","","","0.6807540227487497","0.6807540227487497","0.6807540227487497","NaN","",""
"4","","","","","","","","","","","","","","","","","","","0.6900395871239141","0.6900395871239141","0.6900395871239141","0.6693378056549726","0.6693378056549726","0.6693378056549726"
"6","","","","","","","","","","","","","","","","","","","0.6856554345618049","0.6856554345618049","0.6856554345618049","0.7271101287307976","0.7271101287307976","0.7271101287307976"
"8","","","","","","","","","","","","","","","","","","","0.6238407197577155","0.6238407197577155","0.6238407197577155","0.6965734227911999","0.6965734227911999","0.6965734227911999"
"10","","","","","","","","","","","","","","","","","","","0.6198101889061223","0.6198101889061223","0.6198101889061223","0.6801874886959896","0.6801874886959896","0.6801874886959896"
"12","","","","","","","","","","","","","","","","","","","0.6107215793741128","0.6107215793741128","0.6107215793741128","0.6595876532705021","0.6595876532705021","0.6595876532705021"
"14","","","","","","","","","","","","","","","","","","","0.6139930878000984","0.6139930878000984","0.6139930878000984","0.5651769883368146","0.5651769883368146","0.5651769883368146"
"16","","","","","","","","","","","","","","","","","","","0.5857059486090865","0.5857059486090865","0.5857059486090865","0.5688740756290849","0.5688740756290849","0.5688740756290849"
"18","","","","","","","","","","","","","","","","","","","0.6165198246223985","0.6165198246223985","0.6165198246223985","0.5652633570778476","0.5652633570778476","0.5652633570778476"
"20","","","","","","","","","","","","","","","","","","","0.585312787914413","0.585312787914413","0.585312787914413","0.55870160996144","0.55870160996144","0.55870160996144"
"21","[""NaN"",""NaN""]","","","0.6198830409356725","0.6198830409356725","0.6198830409356725","NaN","","","0.6637034778916572","0.6637034778916572","0.6637034778916572","0.7003609916453141","0.6521571210280456","0.7485648622625826","0.7848094155703371","0.7848094155703371","0.7848094155703371","","","","","",""
"22","","","","","","","","","","","","","","","","","","","0.6038702655012903","0.6038702655012903","0.6038702655012903","0.5282471815297789","0.5282471815297789","0.5282471815297789"
"24","","","","","","","","","","","","","","","","","","","0.5766950182535278","0.5766950182535278","0.5766950182535278","0.554824093153846","0.554824093153846","0.554824093153846"
"26","","","","","","","","","","","","","","","","","","","0.5958011398557383","0.5958011398557383","0.5958011398557383","0.548270489214311","0.548270489214311","0.548270489214311"
"28","","","","","","","","","","","","","","","","","","","0.5729578263199943","0.5729578263199943","0.5729578263199943","0.5328184991590768","0.5328184991590768","0.5328184991590768"
"30","","","","","","","","","","","","","","","","","","","0.5855309594099191","0.5855309594099191","0.5855309594099191","0.5541392003676047","0.5541392003676047","0.5541392003676047"
"32","","","","","","","","","","","","","","","","","","","0.5737602829740986","0.5737602829740986","0.5737602829740986","0.5353654431495598","0.5353654431495598","0.5353654431495598"
"34","","","","","","","","","","","","","","","","","","","0.5942095080153177","0.5942095080153177","0.5942095080153177","0.5522387082127523","0.5522387082127523","0.5522387082127523"
"36","","","","","","","","","","","","","","","","","","","0.6019472608698517","0.6019472608698517","0.6019472608698517","0.5458460382348232","0.5458460382348232","0.5458460382348232"
"38","","","","","","","","","","","","","","","","","","","0.5886726741455715","0.5886726741455715","0.5886726741455715","0.5345712918014309","0.5345712918014309","0.5345712918014309"
"40","","","","","","","","","","","","","","","","","","","0.5949332840485833","0.5949332840485833","0.5949332840485833","0.5452395794436208","0.5452395794436208","0.5452395794436208"
"42","","","","","","","","","","","","","","","","","","","0.5906898046768073","0.5906898046768073","0.5906898046768073","0.5425512048001162","0.5425512048001162","0.5425512048001162"
"43","0.248717397429349","0.2472644767557616","0.25017031810293644","0.7591680989622321","0.7591680989622321","0.7591680989622321","0.6526390791061358","0.6526390791061358","0.6526390791061358","0.6780869618879499","0.6780869618879499","0.6780869618879499","0.7092757455215004","0.7071142323448598","0.7114372586981409","0.7182051796067468","0.7182051796067468","0.7182051796067468","","","","","",""
"44","","","","","","","","","","","","","","","","","","","0.5939314738116772","0.5939314738116772","0.5939314738116772","0.5408825319105658","0.5408825319105658","0.5408825319105658"
"46","","","","","","","","","","","","","","","","","","","0.5937701007331053","0.5937701007331053","0.5937701007331053","0.5486056990040963","0.5486056990040963","0.5486056990040963"
"48","","","","","","","","","","","","","","","","","","","0.5820470907532392","0.5820470907532392","0.5820470907532392","0.5381543158680062","0.5381543158680062","0.5381543158680062"
"50","","","","","","","","","","","","","","","","","","","0.5851366361786401","0.5851366361786401","0.5851366361786401","0.537719542139124","0.537719542139124","0.537719542139124"
"52","","","","","","","","","","","","","","","","","","","0.5941982235050449","0.5941982235050449","0.5941982235050449","0.5319209088367669","0.5319209088367669","0.5319209088367669"
"54","","","","","","","","","","","","","","","","","","","0.5974570725969841","0.5974570725969841","0.5974570725969841","0.5289075387538691","0.5289075387538691","0.5289075387538691"
"56","","","","","","","","","","","","","","","","","","","0.5940457759329589","0.5940457759329589","0.5940457759329589","0.5296755172518111","0.5296755172518111","0.5296755172518111"
"58","","","","","","","","","","","","","","","","","","","0.5934012307114105","0.5934012307114105","0.5934012307114105","0.5292108100018257","0.5292108100018257","0.5292108100018257"
"65","0.2467485613346699","0.2467432203097235","0.2467539023596163","0.6186043218664841","0.6186043218664841","0.6186043218664841","0.5973492532753981","0.5973492532753981","0.5973492532753981","0.6603163122543745","0.6603163122543745","0.6603163122543745","0.6855844838468991","0.6848244598294965","0.6863445078643017","0.6319752752644452","0.6319752752644452","0.6319752752644452","","","","","",""
"87","0.33553449093736415","0.33552300432273807","0.3355459775519902","0.6167554788346659","0.6167554788346659","0.6167554788346659","0.6122984616634677","0.6122984616634677","0.6122984616634677","0.6716497007317898","0.6716497007317898","0.6716497007317898","0.6557873998272812","0.6209053149434924","0.6906694847110699","0.6478449308673515","0.6478449308673515","0.6478449308673515","","","","","",""
"109","0.4002210892962682","0.3998853464572098","0.4005568321353266","0.6102979455629629","0.6102979455629629","0.6102979455629629","0.5867761575912589","0.5867761575912589","0.5867761575912589","0.6497361483832496","0.6497361483832496","0.6497361483832496","0.6428097694143158","0.6405620338151655","0.6450575050134659","0.6516754264777954","0.6516754264777954","0.6516754264777954","","","","","",""
"131","0.31155936251131644","0.31155936251131644","0.31155936251131644","0.6107421896929826","0.6107421896929826","0.6107421896929826","0.5896487855681074","0.5896487855681074","0.5896487855681074","0.6050230516848123","0.6050230516848123","0.6050230516848123","0.6250561038462111","0.6118081508973543","0.638304056795068","0.606930857659072","0.606930857659072","0.606930857659072","","","","","",""
"153","0.3199771986060248","0.3199771986060248","0.3199771986060248","0.5748852677412581","0.5748852677412581","0.5748852677412581","0.6078867361832305","0.6078867361832305","0.6078867361832305","0.6165322981040473","0.6165322981040473","0.6165322981040473","0.6300798941647958","0.6229188536396004","0.6372409346899912","0.6402965493019666","0.6402965493019666","0.6402965493019666","","","","","",""
"175","0.32263651620754474","0.32263651620754474","0.32263651620754474","0.5829161948191731","0.5829161948191731","0.5829161948191731","0.556336675318464","0.556336675318464","0.556336675318464","0.5808765342384433","0.5808765342384433","0.5808765342384433","0.6087135105290029","0.5982992783834156","0.6191277426745903","0.5986082075690216","0.5986082075690216","0.5986082075690216","","","","","",""
"197","0.3134559740003708","0.3134559740003708","0.3134559740003708","0.5969203989323321","0.5969203989323321","0.5969203989323321","0.5657401530829498","0.5657401530829498","0.5657401530829498","0.59054217082766","0.59054217082766","0.59054217082766","0.5997014813090326","0.5933766502795119","0.6060263123385532","0.5955367542503751","0.5955367542503751","0.5955367542503751","","","","","",""
"219","","","","0.580934586131914","0.580934586131914","0.580934586131914","0.5603478925494043","0.5603478925494043","0.5603478925494043","0.5897759539683884","0.5897759539683884","0.5897759539683884","0.6066081441283379","0.6032013152311531","0.6100149730255227","0.618761415992715","0.618761415992715","0.618761415992715","","","","","",""
"241","","","","0.5777997874667982","0.5777997874667982","0.5777997874667982","0.5453472302962032","0.5453472302962032","0.5453472302962032","0.5867230574176445","0.5867230574176445","0.5867230574176445","0.6031331666695192","0.5970847309983104","0.6091816023407282","0.570206637363661","0.570206637363661","0.570206637363661","","","","","",""
"263","","","","0.5599228337365385","0.5599228337365385","0.5599228337365385","0.5315546975214359","0.5315546975214359","0.5315546975214359","0.5779181591764406","0.5779181591764406","0.5779181591764406","0.6087002433097461","0.5932059553012989","0.6241945313181935","0.5913790129744767","0.5913790129744767","0.5913790129744767","","","","","",""
"285","","","","0.5577883584416035","0.5577883584416035","0.5577883584416035","0.5343152241731886","0.5343152241731886","0.5343152241731886","0.5774325904261494","0.5774325904261494","0.5774325904261494","0.5840850554677015","0.5757600266616614","0.5924100842737415","0.5792061906257028","0.5792061906257028","0.5792061906257028","","","","","",""
"307","","","","0.5814439194448999","0.5814439194448999","0.5814439194448999","0.5334808405242222","0.5334808405242222","0.5334808405242222","0.5954855024390192","0.5954855024390192","0.5954855024390192","0.5956992382249692","0.5902821747376329","0.6011163017123055","0.5986989311719979","0.5986989311719979","0.5986989311719979","","","","","",""
"329","","","","0.5707263155111484","0.5707263155111484","0.5707263155111484","0.5270770863442318","0.5270770863442318","0.5270770863442318","0.5860704680015986","0.5860704680015986","0.5860704680015986","0.5935831490621629","0.5838819177466593","0.6032843803776665","0.5893746454608592","0.5893746454608592","0.5893746454608592","","","","","",""
"352","","","","0.5715111322453301","0.5715111322453301","0.5715111322453301","0.5220247701277503","0.5220247701277503","0.5220247701277503","0.5773168948191172","0.5773168948191172","0.5773168948191172","0.5991502101365548","0.5910081134426695","0.6072923068304401","0.5842531241962041","0.5842531241962041","0.5842531241962041","","","","","",""
"374","","","","0.5851054746169011","0.5851054746169011","0.5851054746169011","0.5479024411678098","0.5479024411678098","0.5479024411678098","0.5784530720310384","0.5784530720310384","0.5784530720310384","0.5966352492857359","0.5928831740858418","0.60038732448563","0.5871294083567897","0.5871294083567897","0.5871294083567897","","","","","",""
"396","","","","0.5807064664710779","0.5807064664710779","0.5807064664710779","0.5215698776328981","0.5215698776328981","0.5215698776328981","0.5836048425028162","0.5836048425028162","0.5836048425028162","0.594933320057238","0.5902986926398479","0.599567947474628","0.5887431777718811","0.5887431777718811","0.5887431777718811","","","","","",""
"418","","","","0.5847363300900426","0.5847363300900426","0.5847363300900426","0.539871621855702","0.539871621855702","0.539871621855702","0.5870949857480943","0.5870949857480943","0.5870949857480943","0.598250181412823","0.5878380502979335","0.6086623125277126","0.5989912756576204","0.5989912756576204","0.5989912756576204","","","","","",""
"440","","","","0.5724475235199529","0.5724475235199529","0.5724475235199529","0.5152835294843553","0.5152835294843553","0.5152835294843553","0.5772765184863767","0.5772765184863767","0.5772765184863767","0.5827918855998158","0.5819175287859396","0.5836662424136919","0.5802616439360514","0.5802616439360514","0.5802616439360514","","","","","",""
"462","","","","0.5851783892774141","0.5851783892774141","0.5851783892774141","0.5201529744874384","0.5201529744874384","0.5201529744874384","0.5937095918971504","0.5937095918971504","0.5937095918971504","0.5919444241385217","0.5890555484078728","0.5948332998691706","0.5835556875779636","0.5835556875779636","0.5835556875779636","","","","","",""
"484","","","","0.5668713794460578","0.5668713794460578","0.5668713794460578","0.5293405569663195","0.5293405569663195","0.5293405569663195","0.5726925510004509","0.5726925510004509","0.5726925510004509","0.5810676073707071","0.5766583113075346","0.5854769034338795","0.5928036099485742","0.5928036099485742","0.5928036099485742","","","","","",""
"506","","","","0.5827217715286346","0.5827217715286346","0.5827217715286346","0.5237865116380973","0.5237865116380973","0.5237865116380973","0.5886243999928076","0.5886243999928076","0.5886243999928076","0.5894057265180119","0.5820823788319752","0.5967290742040485","0.5853672192540682","0.5853672192540682","0.5853672192540682","","","","","",""
"528","","","","0.5827121548352567","0.5827121548352567","0.5827121548352567","0.5241470577287599","0.5241470577287599","0.5241470577287599","0.591380046549135","0.591380046549135","0.591380046549135","0.5887133771691317","0.5815181748123827","0.5959085795258808","0.5941758675431495","0.5941758675431495","0.5941758675431495","","","","","",""
"550","","","","0.5808127393982918","0.5808127393982918","0.5808127393982918","0.5283744949169706","0.5283744949169706","0.5283744949169706","0.5865308088216353","0.5865308088216353","0.5865308088216353","0.5908796493772153","0.5894787450454746","0.592280553708956","0.5892561356462613","0.5892561356462613","0.5892561356462613","","","","","",""
"572","","","","0.5906644120764465","0.5906644120764465","0.5906644120764465","0.5313813232765081","0.5313813232765081","0.5313813232765081","0.5966370950055905","0.5966370950055905","0.5966370950055905","0.5939899700661695","0.5922599836554279","0.5957199564769111","0.5926898150529097","0.5926898150529097","0.5926898150529097","","","","","",""
"594","","","","0.5826191297389294","0.5826191297389294","0.5826191297389294","0.5265484857914438","0.5265484857914438","0.5265484857914438","0.5920366859419517","0.5920366859419517","0.5920366859419517","0.5876801061157487","0.5873416378905171","0.5880185743409804","0.590337131544203","0.590337131544203","0.590337131544203","","","","","",""
"616","","","","0.5822028536857187","0.5822028536857187","0.5822028536857187","0.5289804344820379","0.5289804344820379","0.5289804344820379","0.5930887374160896","0.5930887374160896","0.5930887374160896","0.5873128020743268","0.5856809197183319","0.5889446844303217","0.5880112459251812","0.5880112459251812","0.5880112459251812","","","","","",""
"638","","","","0.5821481514865976","0.5821481514865976","0.5821481514865976","0.5221529385217267","0.5221529385217267","0.5221529385217267","0.593858098761153","0.593858098761153","0.593858098761153","0.5865615132932578","0.5843954200357139","0.5887276065508018","0.5921695882961665","0.5921695882961665","0.5921695882961665","","","","","",""
"659","","","","","","","0.5244711640168764","0.5244711640168764","0.5244711640168764","0.5986654195925092","0.5986654195925092","0.5986654195925092","0.5909156366434675","0.5905373245323243","0.5912939487546106","0.5943355640505522","0.5943355640505522","0.5943355640505522","","","","","",""