"Step","deberta-mlm-large_prompt-based-balanced - eval/micro_f1","deberta-mlm-large_prompt-based-balanced - eval/micro_f1__MIN","deberta-mlm-large_prompt-based-balanced - eval/micro_f1__MAX","deberta-large_prompt-based-balanced - eval/micro_f1","deberta-large_prompt-based-balanced - eval/micro_f1__MIN","deberta-large_prompt-based-balanced - eval/micro_f1__MAX","mlm-large_prompt-based-balanced - eval/micro_f1","mlm-large_prompt-based-balanced - eval/micro_f1__MIN","mlm-large_prompt-based-balanced - eval/micro_f1__MAX","mlm-large_prompt-based - eval/micro_f1","mlm-large_prompt-based - eval/micro_f1__MIN","mlm-large_prompt-based - eval/micro_f1__MAX","mlm-large_fine-tune - eval/micro_f1","mlm-large_fine-tune - eval/micro_f1__MIN","mlm-large_fine-tune - eval/micro_f1__MAX","mlm_fine-tune - eval/micro_f1","mlm_fine-tune - eval/micro_f1__MIN","mlm_fine-tune - eval/micro_f1__MAX"
"0","","","","","","","","","","","","","0.0025129574367834147","0.0025129574367834147","0.0025129574367834147","NaN","",""
"2","","","","","","","","","","","","","0.4453863710466254","0.4453863710466254","0.4453863710466254","NaN","",""
"4","","","","","","","","","","","","","0.5141424272818456","0.5141424272818456","0.5141424272818456","0.332939787485242","0.332939787485242","0.332939787485242"
"6","","","","","","","","","","","","","0.5455599574838148","0.5455599574838148","0.5455599574838148","0.41939393939393943","0.41939393939393943","0.41939393939393943"
"8","","","","","","","","","","","","","0.5616958252337313","0.5616958252337313","0.5616958252337313","0.48289284982585534","0.48289284982585534","0.48289284982585534"
"10","","","","","","","","","","","","","0.5644464859898943","0.5644464859898943","0.5644464859898943","0.4830079537237889","0.4830079537237889","0.4830079537237889"
"12","","","","","","","","","","","","","0.5578332251182637","0.5578332251182637","0.5578332251182637","0.4892842701172665","0.4892842701172665","0.4892842701172665"
"14","","","","","","","","","","","","","0.5761439049947606","0.5761439049947606","0.5761439049947606","0.5222760520566163","0.5222760520566163","0.5222760520566163"
"16","","","","","","","","","","","","","0.5638146167557931","0.5638146167557931","0.5638146167557931","0.5262455939792321","0.5262455939792321","0.5262455939792321"
"18","","","","","","","","","","","","","0.5653894585357078","0.5653894585357078","0.5653894585357078","0.5076191400562943","0.5076191400562943","0.5076191400562943"
"20","","","","","","","","","","","","","0.5635751019684341","0.5635751019684341","0.5635751019684341","0.5332846315404987","0.5332846315404987","0.5332846315404987"
"21","NaN","","","0.17040969103035253","0.17040969103035253","0.17040969103035253","0.3375127848479133","0.3042893804228278","0.3707361892729988","0.4007625028033191","0.4007625028033191","0.4007625028033191","","","","","",""
"22","","","","","","","","","","","","","0.5555154359992779","0.5555154359992779","0.5555154359992779","0.5281644091546006","0.5281644091546006","0.5281644091546006"
"24","","","","","","","","","","","","","0.5637490182389387","0.5637490182389387","0.5637490182389387","0.5279985384123504","0.5279985384123504","0.5279985384123504"
"26","","","","","","","","","","","","","0.562800875273523","0.562800875273523","0.562800875273523","0.525397262790484","0.525397262790484","0.525397262790484"
"28","","","","","","","","","","","","","0.5664002720625744","0.5664002720625744","0.5664002720625744","0.5284013450877033","0.5284013450877033","0.5284013450877033"
"30","","","","","","","","","","","","","0.5608631340816149","0.5608631340816149","0.5608631340816149","0.520671834625323","0.520671834625323","0.520671834625323"
"32","","","","","","","","","","","","","0.5677253218884121","0.5677253218884121","0.5677253218884121","0.5389252948885975","0.5389252948885975","0.5389252948885975"
"34","","","","","","","","","","","","","0.561317017343076","0.561317017343076","0.561317017343076","0.5262303948080044","0.5262303948080044","0.5262303948080044"
"36","","","","","","","","","","","","","0.5578267409963721","0.5578267409963721","0.5578267409963721","0.5306484520535792","0.5306484520535792","0.5306484520535792"
"38","","","","","","","","","","","","","0.5580412189536728","0.5580412189536728","0.5580412189536728","0.5316901408450704","0.5316901408450704","0.5316901408450704"
"40","","","","","","","","","","","","","0.554420570623459","0.554420570623459","0.554420570623459","0.5269146608315098","0.5269146608315098","0.5269146608315098"
"42","","","","","","","","","","","","","0.5570291777188329","0.5570291777188329","0.5570291777188329","0.5239236573457612","0.5239236573457612","0.5239236573457612"
"43","0.241422805247225","0.241422805247225","0.241422805247225","0.4586243386243386","0.4586243386243386","0.4586243386243386","0.5058481403475301","0.5017450215561486","0.5099512591389115","0.5289419189429051","0.5289419189429051","0.5289419189429051","","","","","",""
"44","","","","","","","","","","","","","0.5576703797912463","0.5576703797912463","0.5576703797912463","0.5254192174607399","0.5254192174607399","0.5254192174607399"
"46","","","","","","","","","","","","","0.5556242820535477","0.5556242820535477","0.5556242820535477","0.5201729106628243","0.5201729106628243","0.5201729106628243"
"48","","","","","","","","","","","","","0.5550769230769231","0.5550769230769231","0.5550769230769231","0.5234277569926955","0.5234277569926955","0.5234277569926955"
"50","","","","","","","","","","","","","0.5577563540753725","0.5577563540753725","0.5577563540753725","0.5240765465064531","0.5240765465064531","0.5240765465064531"
"52","","","","","","","","","","","","","0.5563392699700229","0.5563392699700229","0.5563392699700229","0.5248025556837341","0.5248025556837341","0.5248025556837341"
"54","","","","","","","","","","","","","0.5551121752239071","0.5551121752239071","0.5551121752239071","0.5264641127256715","0.5264641127256715","0.5264641127256715"
"56","","","","","","","","","","","","","0.5578027024640113","0.5578027024640113","0.5578027024640113","0.5261121856866537","0.5261121856866537","0.5261121856866537"
"58","","","","","","","","","","","","","0.560126582278481","0.560126582278481","0.560126582278481","0.5263157894736842","0.5263157894736842","0.5263157894736842"
"65","0.43585847623182117","0.43585847623182117","0.43585847623182117","0.5185112248916895","0.5185112248916895","0.5185112248916895","0.5452921019516068","0.5419342284491147","0.5486499754540991","0.558756633813495","0.558756633813495","0.558756633813495","","","","","",""
"87","0.516378394047734","0.516378394047734","0.516378394047734","0.5347449470644852","0.5347449470644852","0.5347449470644852","0.5738379256016288","0.5728353771832032","0.5748404740200546","0.5760999357031321","0.5760999357031321","0.5760999357031321","","","","","",""
"109","0.534948224852071","0.534948224852071","0.534948224852071","0.5468779475570648","0.5468779475570648","0.5468779475570648","0.5839933189054884","0.5825736325385693","0.5854130052724077","0.5833700731857862","0.5833700731857862","0.5833700731857862","","","","","",""
"131","0.5282001924927814","0.5282001924927814","0.5282001924927814","0.5585486531061022","0.5585486531061022","0.5585486531061022","0.5835369660776664","0.5810381355932203","0.5860357965621124","0.5836521739130435","0.5836521739130435","0.5836521739130435","","","","","",""
"153","0.5373382624768946","0.5373382624768946","0.5373382624768946","0.5511591099525184","0.5511591099525184","0.5511591099525184","0.569472730407749","0.5691599747360823","0.5697854860794158","0.5694822888283378","0.5694822888283378","0.5694822888283378","","","","","",""
"175","0.5521362947105521","0.5521362947105521","0.5521362947105521","0.5699807793115499","0.5699807793115499","0.5699807793115499","0.5796761018340582","0.5773574993433149","0.5819947043248015","0.5842424242424242","0.5842424242424242","0.5842424242424242","","","","","",""
"197","0.5481413492427718","0.5481413492427718","0.5481413492427718","0.5582151567157438","0.5582151567157438","0.5582151567157438","0.5761748695798543","0.5754165576201693","0.5769331815395393","0.5807442813246841","0.5807442813246841","0.5807442813246841","","","","","",""
"219","0.553015301530153","0.553015301530153","0.553015301530153","0.563997139792635","0.563997139792635","0.563997139792635","0.5733013623749876","0.5711031280119162","0.5754995967380591","0.5743753889926202","0.5743753889926202","0.5743753889926202","","","","","",""
"241","0.5502191217243538","0.5502191217243538","0.5502191217243538","0.5649528177087927","0.5649528177087927","0.5649528177087927","0.5714784193238556","0.5626004643686372","0.5803563742790738","0.5800452374968585","0.5800452374968585","0.5800452374968585","","","","","",""
"263","0.5646599303727605","0.5646599303727605","0.5646599303727605","0.5651793525809274","0.5651793525809274","0.5651793525809274","0.5646814717780531","0.5638336347197106","0.5655293088363955","0.5732571038484513","0.5732571038484513","0.5732571038484513","","","","","",""
"285","0.5583283986126385","0.5583283986126385","0.5583283986126385","0.565362554575807","0.565362554575807","0.565362554575807","0.5734155513027677","0.5725204099357304","0.574310692669805","0.5783977946704537","0.5783977946704537","0.5783977946704537","","","","","",""
"307","0.5598377281947262","0.5598377281947262","0.5598377281947262","0.5664540596448888","0.5664540596448888","0.5664540596448888","0.5691311818827117","0.5679937276766267","0.5702686360887967","0.5766073871409029","0.5766073871409029","0.5766073871409029","","","","","",""
"329","0.54768321307485","0.54768321307485","0.54768321307485","0.5688627925049651","0.5688627925049651","0.5688627925049651","0.5720782251994141","0.5718381112984823","0.572318339100346","0.5825453936909045","0.5825453936909045","0.5825453936909045","","","","","",""
"352","0.5618277328441591","0.5618277328441591","0.5618277328441591","0.5674851820491109","0.5674851820491109","0.5674851820491109","0.5645680400466566","0.5614466292134832","0.5676894508798301","0.574575258260053","0.574575258260053","0.574575258260053","","","","","",""
"374","0.555016461618437","0.555016461618437","0.555016461618437","0.5616908850726552","0.5616908850726552","0.5616908850726552","0.5656747487879148","0.5649029982363316","0.566446499339498","0.5793103448275863","0.5793103448275863","0.5793103448275863","","","","","",""
"396","0.5520184347529231","0.5520184347529231","0.5520184347529231","0.5630122950819672","0.5630122950819672","0.5630122950819672","0.5680226683781842","0.5602799650043745","0.5757653717519938","0.576605977327379","0.576605977327379","0.576605977327379","","","","","",""
"418","0.5495971584510092","0.5495971584510092","0.5495971584510092","0.5626740947075209","0.5626740947075209","0.5626740947075209","0.5649608075450381","0.5614525139664805","0.5684691011235955","0.580451385909208","0.580451385909208","0.580451385909208","","","","","",""
"440","0.5559185725056548","0.5559185725056548","0.5559185725056548","0.5642434125826109","0.5642434125826109","0.5642434125826109","0.5697560107654857","0.5684539302446643","0.571058091286307","0.5798347664812006","0.5798347664812006","0.5798347664812006","","","","","",""
"462","0.5534096735600753","0.5534096735600753","0.5534096735600753","0.5618075547413418","0.5618075547413418","0.5618075547413418","0.5648521806564647","0.56413416674003","0.5655701945728994","0.5758556104205687","0.5758556104205687","0.5758556104205687","","","","","",""
"484","0.5526093565276136","0.5526093565276136","0.5526093565276136","0.5612552806276403","0.5612552806276403","0.5612552806276403","0.5661662877261058","0.5620903609193394","0.570242214532872","0.5793021073287262","0.5793021073287262","0.5793021073287262","","","","","",""
"506","0.5464957264957265","0.5464957264957265","0.5464957264957265","0.5605073408044479","0.5605073408044479","0.5605073408044479","0.5676608446846629","0.5652249435469863","0.5700967458223395","0.5774515661005377","0.5774515661005377","0.5774515661005377","","","","","",""
"528","0.5435140997830803","0.5435140997830803","0.5435140997830803","0.5602089682194166","0.5602089682194166","0.5602089682194166","0.5647059151114975","0.5635067335621864","0.5659050966608085","0.5772629772629773","0.5772629772629773","0.5772629772629773","","","","","",""
"550","0.5472008306653976","0.5472008306653976","0.5472008306653976","0.5635703165542293","0.5635703165542293","0.5635703165542293","0.5668414422883892","0.565487112276103","0.5681957723006754","0.5788934426229508","0.5788934426229508","0.5788934426229508","","","","","",""
"572","0.5478977026441266","0.5478977026441266","0.5478977026441266","0.5601681555438781","0.5601681555438781","0.5601681555438781","0.567274043425499","0.5638232451901958","0.5707248416608023","0.5775236794948375","0.5775236794948375","0.5775236794948375","","","","","",""
"594","0.5475449515905948","0.5475449515905948","0.5475449515905948","0.56033432004179","0.56033432004179","0.56033432004179","0.5656138583002996","0.5643969040786154","0.5668308125219838","0.5780169100691775","0.5780169100691775","0.5780169100691775","","","","","",""
"616","0.5458966565349543","0.5458966565349543","0.5458966565349543","0.5626789277348834","0.5626789277348834","0.5626789277348834","0.5655886681122941","0.5639636490737504","0.567213687150838","0.5793900263359103","0.5793900263359103","0.5793900263359103","","","","","",""
"638","0.5481621761212018","0.5481621761212018","0.5481621761212018","0.5609227300320874","0.5609227300320874","0.5609227300320874","0.5669190111049895","0.5655196385123392","0.56831838369764","0.5777093490719356","0.5777093490719356","0.5777093490719356","","","","","",""
"659","0.5468736449570722","0.5468736449570722","0.5468736449570722","0.5589137100306614","0.5589137100306614","0.5589137100306614","0.5662168341998461","0.5643936086614861","0.568040059738206","0.5778653417851637","0.5778653417851637","0.5778653417851637","","","","","",""